Time,heading
270.50000403,-2.798926591873169
270.550004031,-2.797175645828247
270.600004032,-2.7946693897247314
270.600004032,-2.7922656536102295
270.700004033,-2.7896201610565186
270.700004033,-2.7880260944366455
270.800004035,-2.7868220806121826
270.800004035,-2.7848169803619385
270.900004036,-2.7824981212615967
270.950004037,-2.779784917831421
270.950004037,-2.7767856121063232
271.050004038,-2.773587465286255
271.100004039,-2.7703492641448975
271.15000404,-2.7671077251434326
271.200004041,-2.7638766765594482
271.250004041,-2.760866403579712
271.300004042,-2.7589776515960693
271.300004042,-2.755594491958618
271.400004044,-2.755594491958618
271.450004044,-2.7545888423919678
271.500004045,-2.754164457321167
271.500004045,-2.7532947063446045
271.550004046,-2.7518794536590576
271.650004047,-2.7501657009124756
271.700004048,-2.7482922077178955
271.700004048,-2.744504690170288
271.80000405,-2.7387635707855225
271.80000405,-2.732020139694214
271.900004051,-2.7271344661712646
271.950004052,-2.724482774734497
272.000004053,-2.724508047103882
272.050004053,-2.7253568172454834
272.050004053,-2.72501540184021
272.150004055,-2.7224972248077393
272.200004056,-2.718236207962036
272.200004056,-2.7127091884613037
272.300004057,-2.707200765609741
272.350004058,-2.7024013996124268
272.400004059,-2.6980769634246826
272.450004059,-2.6939914226531982
272.50000406,-2.6907765865325928
272.550004061,-2.688582181930542
272.600004062,-2.6866214275360107
272.650004062,-2.6845624446868896
272.700004063,-2.682676076889038
272.700004063,-2.680992841720581
272.750004064,-2.679216146469116
272.850004065,-2.6769602298736572
272.900004066,-2.674049139022827
272.950004067,-2.6716272830963135
273.000004068,-2.66996169090271
273.000004068,-2.6682546138763428
273.050004068,-2.666741132736206
273.100004069,-2.665571928024292
273.20000407,-2.6645658016204834
273.250004071,-2.663639783859253
273.300004072,-2.662576913833618
273.350004073,-2.6614720821380615
273.400004073,-2.6604163646698
273.400004073,-2.65903639793396
273.500004075,-2.654895067214966
273.550004076,-2.647644281387329
273.600004076,-2.641503095626831
273.650004077,-2.6377065181732178
273.700004078,-2.6352975368499756
273.750004079,-2.633765935897827
273.800004079,-2.633225202560425
273.85000408,-2.6334569454193115
273.900004081,-2.633125066757202
273.900004081,-2.631995916366577
274.000004082,-2.63081431388855
274.050004083,-2.6299216747283936
274.100004084,-2.6292340755462646
274.100004084,-2.6268250942230225
274.200004085,-2.6243274211883545
