Time,pos x,pos y,pos z,vel,heading,ang vel z,lin acc x,lin acc y
95.200001418,-704.3511352539062,-3593.205322265625,364.2865295410156,-0.005005544386222027,-135.3898162841797,-0.009346842765808105,0.4074615240097046,0.5340186357498169
95.250001419,-704.3511352539062,-3593.205322265625,364.2865295410156,-0.005005544386222027,-135.3898162841797,-0.009346842765808105,0.4074615240097046,0.5340186357498169
95.250001419,-704.3511352539062,-3593.205322265625,364.2865295410156,-0.005005544386222027,-135.3898162841797,-0.009346842765808105,0.4074615240097046,0.5340186357498169
95.30000142,-704.35107421875,-3593.205322265625,364.28631591796875,-0.0027717638295143843,-135.3900146484375,-0.0059662810526788235,0.0009460060391575098,0.00869758054614067
95.30000142,-704.35107421875,-3593.205322265625,364.28631591796875,-0.0027717638295143843,-135.3900146484375,-0.0059662810526788235,0.0009460060391575098,0.00869758054614067
95.30000142,-704.35107421875,-3593.205322265625,364.28631591796875,-0.0027717638295143843,-135.3900146484375,-0.0059662810526788235,0.0009460060391575098,0.00869758054614067
95.35000142,-704.3510131835938,-3593.205322265625,364.28619384765625,-0.0021835369407199323,-135.39012145996094,-0.004674507305026054,0.001582973636686802,0.001216117525473237
95.35000142,-704.3510131835938,-3593.205322265625,364.28619384765625,-0.0021835369407199323,-135.39012145996094,-0.004674507305026054,0.001582973636686802,0.001216117525473237
95.35000142,-704.3510131835938,-3593.205322265625,364.28619384765625,-0.0021835369407199323,-135.39012145996094,-0.004674507305026054,0.001582973636686802,0.001216117525473237
95.35000142,-704.3509521484375,-3593.205322265625,364.2861633300781,-0.0017790260608308017,-135.39016723632812,-0.0043241046369075775,0.002501142444089055,-0.0007116387132555246
95.400001421,-704.3509521484375,-3593.205322265625,364.2861633300781,-0.0017790260608308017,-135.39016723632812,-0.0043241046369075775,0.002501142444089055,-0.0007116387132555246
95.400001421,-704.3509521484375,-3593.205322265625,364.2861633300781,-0.0017790260608308017,-135.39016723632812,-0.0043241046369075775,0.002501142444089055,-0.0007116387132555246
95.450001422,-704.350830078125,-3593.204833984375,364.2861328125,-0.0014883901458233595,-135.3903045654297,-0.00402656476944685,0.0027945416513830423,-0.0010662246495485306
95.450001422,-704.350830078125,-3593.204833984375,364.2861328125,-0.0014883901458233595,-135.3903045654297,-0.00402656476944685,0.0027945416513830423,-0.0010662246495485306
95.450001422,-704.350830078125,-3593.204833984375,364.2861328125,-0.0014883901458233595,-135.3903045654297,-0.00402656476944685,0.0027945416513830423,-0.0010662246495485306
95.500001423,-704.3507690429688,-3593.204833984375,364.28607177734375,-0.0012546941579785198,-135.39041137695312,-0.004745929967612028,0.0014019955415278673,-0.0013357732677832246
95.500001423,-704.3507690429688,-3593.204833984375,364.28607177734375,-0.0012546941579785198,-135.39041137695312,-0.004745929967612028,0.0014019955415278673,-0.0013357732677832246
95.500001423,-704.3507690429688,-3593.204833984375,364.28607177734375,-0.0012546941579785198,-135.39041137695312,-0.004745929967612028,0.0014019955415278673,-0.0013357732677832246
95.550001423,-704.3507690429688,-3593.204833984375,364.2860412597656,-0.0015740076996735297,-135.39056396484375,-0.004686875268816948,0.003890958148986101,-0.0035068513825535774
